temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,latitude,longitude
26.0,26.0,24.6,91.92,0.0,0,,0.0,0.0,,3.6,343.0,,93.5,1.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.967033313,101.6523208
25.0,25.0,23.5,91.17,0.0,0,,0.0,0.0,,3.7,3.0,,92.3,1.5,28.3,0.1,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.962150972,101.7110964
25.0,25.0,23.4,90.6,0.0,0,,0.0,0.0,,4.1,12.0,,91.4,1.6,28.3,0.1,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.928768234,101.6912621
26.0,26.0,23.4,85.48,0.0,0,,0.0,0.0,,2.3,69.0,,100.0,1.6,392.4,1.4,4,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.941112411,101.7132003
28.5,33.2,24.5,78.79,0.0,0,,0.0,0.0,,6.6,125.0,,100.0,1.0,594.8,2.1,6,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.939276297,101.6442602
28.5,33.2,24.5,78.95,0.0,0,,0.0,0.0,,6.5,125.0,,100.0,1.0,594.8,2.1,6,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.957245277,101.6766783
28.4,33.1,24.6,79.73,0.0,0,,0.0,0.0,,6.0,124.0,,100.0,1.0,594.8,2.1,6,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.970509739,101.6621115
28.6,33.3,24.4,77.7,0.0,0,,0.0,0.0,,7.3,126.0,,100.0,1.0,594.8,2.1,6,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.921546642,101.6680438
29.8,35.8,24.9,75.03,0.0,0,,0.0,0.0,,9.9,142.0,1012.2,100.0,1.0,723.3,2.6,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.943176549,101.7346564
29.8,35.8,24.9,75.04,0.0,0,,0.0,0.0,,9.9,143.0,1012.2,100.0,1.0,723.3,2.6,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.915475549,101.6616564
29.8,35.8,24.9,75.04,0.0,0,,0.0,0.0,,9.6,138.0,1012.2,100.0,1.0,723.3,2.6,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.943831439,101.6823814
29.8,35.8,24.9,75.03,0.0,0,,0.0,0.0,,10.0,143.0,1012.2,100.0,1.0,723.3,2.6,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.934433738,101.7258593
29.8,35.8,24.9,75.04,0.0,0,,0.0,0.0,,9.3,134.0,1012.3,100.0,1.0,723.3,2.6,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.967766774,101.6855821
30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,8.3,164.0,,100.0,1.0,794.3,2.9,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.951222745,101.7235245
30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,10.2,157.0,,100.0,1.0,798.0,2.9,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.939402932,101.6633933
30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,8.3,163.0,,100.0,1.0,794.3,2.9,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.947776713,101.6978995
30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,8.7,155.0,,100.0,1.0,794.3,2.9,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.9662059,101.6346878
30.0,36.3,25.1,75.02,0.0,0,,0.0,0.0,,8.3,170.0,1009.2,100.0,0.5,702.8,2.5,7,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.966805235,101.691886
29.6,35.6,25.0,76.45,0.0,0,,0.0,0.0,,7.1,174.0,1009.1,100.0,0.7,702.8,2.5,7,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.904241872,101.6693722
29.9,36.1,25.1,75.3,0.0,0,,0.0,0.0,,8.1,171.0,1009.2,100.0,0.5,702.8,2.5,7,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.953809463,101.6864277
30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,7.6,163.0,,100.0,0.4,563.0,2.0,6,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.971703373,101.6786169
30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,7.6,171.0,,100.0,0.7,563.0,2.0,6,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.925992147,101.7259705
30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,7.6,169.0,,100.0,0.6,563.0,2.0,6,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.94146915,101.7094355
30.0,36.7,25.5,76.67,0.0,0,,0.0,0.0,,6.4,165.0,,100.0,0.5,380.4,1.4,4,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.959500865,101.7081422
30.0,36.7,25.5,76.66,0.0,0,,0.0,0.0,,6.4,165.0,,100.0,0.5,380.4,1.4,4,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.932691012,101.6432777
29.4,36.3,26.0,82.17,0.0,0,,0.0,0.0,,4.2,193.0,,100.0,0.6,51.8,0.2,1,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.943731299,101.7349606
29.3,36.2,26.0,82.37,0.0,0,,0.0,0.0,,4.2,194.0,,100.0,0.7,51.8,0.2,1,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.932445148,101.7365378
29.4,36.3,26.0,82.08,0.0,0,,0.0,0.0,,4.3,192.0,,100.0,0.6,51.8,0.2,1,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.938365035,101.7021395
29.5,36.5,26.0,81.6,0.0,0,,0.0,0.0,,4.5,190.0,,100.0,0.5,51.8,0.2,1,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.961409415,101.6954655
29.2,36.1,26.0,82.75,0.0,0,,0.0,0.0,,4.0,195.0,,100.0,0.8,51.8,0.2,1,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.909508314,101.7448743
29.3,36.2,26.0,82.47,0.0,0,,0.0,0.0,,4.1,194.0,,100.0,0.7,51.8,0.2,1,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.920341513,101.7127793
28.2,33.5,25.4,84.65,0.0,0,,0.0,0.0,,2.1,119.0,1009.2,100.0,0.6,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.938475943,101.6852813
28.2,33.3,25.3,84.74,0.0,0,,0.0,0.0,,2.5,132.0,1009.1,100.0,0.7,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.920208022,101.7141611
28.1,33.2,25.3,84.78,0.0,0,,0.0,0.0,,2.7,138.0,1009.1,100.0,0.8,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.911034456,101.7459985
28.3,33.7,25.5,84.57,0.0,0,,0.0,0.0,,1.8,108.0,1009.2,100.0,0.5,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.962275698,101.6918951
28.3,33.6,25.4,84.64,0.0,0,,0.0,0.0,,2.1,118.0,1009.2,100.0,0.6,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.932841078,101.6624616
28.2,33.4,25.4,84.7,0.0,0,,0.0,0.0,,2.4,127.0,1009.2,100.0,0.7,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.938229596,101.7328228
28.2,33.4,25.4,84.71,0.0,0,,0.0,0.0,,2.4,128.0,1009.2,100.0,0.7,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.922380929,101.687864
28.0,33.0,25.4,85.56,0.0,0,,0.0,0.0,,3.5,71.0,,91.3,1.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.919551168,101.668476
28.0,32.9,25.3,85.09,0.0,0,,0.0,0.0,,4.0,77.0,,90.6,1.5,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.916453312,101.7460087
28.0,33.0,25.4,85.7,0.0,0,,0.0,0.0,,3.4,69.0,,91.6,1.2,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.943119223,101.7154266
28.0,33.0,25.3,85.34,0.0,0,,0.0,0.0,,4.3,53.0,,91.0,1.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.91001756,101.6719134
28.0,33.2,25.6,86.85,0.0,0,,0.0,0.0,,3.2,18.0,,93.8,0.8,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.965581773,101.6384887
28.0,32.9,25.3,85.23,0.0,0,,0.0,0.0,,4.4,56.0,,90.8,1.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.914720246,101.7026826
28.0,33.0,25.4,85.69,0.0,0,,0.0,0.0,,4.0,45.0,,91.6,1.2,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.94670685,101.727935
28.0,33.2,25.6,86.85,0.0,0,,0.0,0.0,,3.2,18.0,,93.8,0.8,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.968579156,101.6453175
28.0,33.0,25.3,85.51,0.0,0,,0.0,0.0,,4.2,49.0,,91.3,1.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.921287496,101.6791926
28.0,33.0,25.3,85.49,0.0,0,,0.0,0.0,,4.2,49.0,,91.3,1.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.903208575,101.6367534
28.0,33.0,25.3,85.42,0.0,0,,0.0,0.0,,4.2,51.0,,91.1,1.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.918987501,101.6855577
28.0,32.9,25.3,85.2,0.0,0,,0.0,0.0,,4.4,56.0,,90.8,1.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.920738346,101.7324981
28.0,32.9,25.3,85.27,0.0,0,,0.0,0.0,,4.3,55.0,,90.9,1.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.92582691,101.7381869
28.0,33.2,25.5,86.55,0.0,0,,0.0,0.0,,3.4,25.0,,93.1,0.9,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.97132764,101.6818507
28.0,33.0,25.4,85.59,0.0,0,,0.0,0.0,,4.1,47.0,,91.4,1.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.919032094,101.6630788
27.0,30.7,25.0,88.63,0.0,0,,0.0,0.0,,1.8,14.0,1011.1,92.9,0.9,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.957446652,101.6609054
27.0,30.6,24.9,88.31,0.0,0,,0.0,0.0,,1.8,19.0,1011.0,91.5,1.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.929765556,101.685258
27.0,30.6,24.9,88.28,0.0,0,,0.0,0.0,,1.8,20.0,1011.0,91.3,1.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.943371984,101.7466686
27.0,30.3,24.3,85.44,0.0,0,,0.0,0.0,,5.0,297.0,,91.3,2.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.919387484,101.6704071
26.0,26.0,24.4,90.38,0.0,0,,0.0,0.0,,2.3,31.0,1010.0,91.4,1.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.92153352,101.6713196
25.0,25.0,23.3,90.35,0.0,0,,0.0,0.0,,2.5,57.0,,100.0,0.7,26.5,0.1,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.910196243,101.6711649
25.0,25.0,23.6,91.69,0.0,0,,0.0,0.0,,1.6,43.0,,100.0,0.4,26.5,0.1,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2.965247798,101.6639004
30.0,35.1,23.9,69.88,0.0,0,,0.0,0.0,,10.6,133.0,1011.6,91.0,2.4,691.0,2.5,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.929160659,101.7405425
30.0,35.1,24.0,69.97,0.0,0,,0.0,0.0,,10.3,135.0,1011.7,92.3,2.1,691.0,2.5,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.954092424,101.6897865
30.0,35.2,24.0,70.03,0.0,0,,0.0,0.0,,10.2,136.0,1011.7,93.3,1.9,691.0,2.5,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.957506738,101.6430859
31.0,36.5,24.0,66.38,0.0,0,,0.0,0.0,,9.4,149.0,,92.3,1.5,766.8,2.8,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.93563453,101.6424992
31.0,36.5,24.0,66.38,0.0,0,,0.0,0.0,,9.4,148.0,,91.7,1.6,766.8,2.8,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.919485995,101.6453034
31.0,36.5,24.0,66.38,0.0,0,,0.0,0.0,,9.4,148.0,,91.6,1.6,766.8,2.8,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.92845186,101.6737553
31.0,36.5,24.0,66.38,0.0,0,,0.0,0.0,,9.4,152.0,,93.5,1.4,766.8,2.8,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.969405623,101.6598108
32.0,37.5,23.7,61.44,0.0,0,,0.0,0.0,,11.8,150.0,,91.3,2.3,775.8,2.8,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.936189794,101.7247492
32.0,37.4,23.6,61.07,0.0,0,,0.0,0.0,,12.0,147.0,,92.1,2.1,775.8,2.8,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.960194395,101.7175065
32.1,37.5,23.5,60.75,0.0,0,,0.0,0.0,,13.6,160.0,1008.7,91.2,2.3,701.5,2.5,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.923278148,101.6872035
32.1,37.5,23.5,60.67,0.0,0,,0.0,0.0,,13.6,160.0,1008.7,91.5,2.3,701.5,2.5,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.916170107,101.650825
32.1,37.5,23.5,60.75,0.0,0,,0.0,0.0,,13.6,160.0,1008.7,91.3,2.3,701.5,2.5,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.933630644,101.7161121
32.1,37.5,23.5,60.74,0.0,0,,0.0,0.0,,13.6,160.0,1008.7,91.3,2.3,701.5,2.5,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.939977736,101.7336849
32.6,38.0,23.4,58.49,0.0,0,,0.0,0.0,,10.8,136.0,,93.7,1.8,581.0,2.1,6,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.96126395,101.6322195
31.8,37.2,23.6,61.94,0.0,0,,0.0,0.0,,13.7,162.0,,91.7,2.6,412.1,1.5,4,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.942903902,101.7007535
29.6,35.2,24.6,74.57,0.0,0,,0.0,0.0,,9.1,146.0,,94.2,2.4,0.9,0.0,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.970403509,101.6312264
29.5,34.8,24.5,74.54,0.0,0,,0.0,0.0,,8.1,145.0,,92.4,2.5,0.9,0.0,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.940293857,101.6527689
29.3,34.2,24.3,74.51,0.0,0,,0.0,0.0,,6.9,143.0,,90.7,2.7,0.9,0.0,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.906898887,101.6981818
28.4,32.7,24.0,76.99,0.0,0,,0.0,0.0,,3.6,139.0,,92.0,2.7,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.957185786,101.7204164
28.3,32.4,24.0,77.63,0.0,0,,0.0,0.0,,3.6,136.0,,90.8,3.2,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.90526394,101.6767583
28.3,32.5,24.0,77.49,0.0,0,,0.0,0.0,,3.6,136.0,,91.1,3.1,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.906258654,101.6578782
28.4,32.6,24.0,77.27,0.0,0,,0.0,0.0,,3.6,137.0,,91.4,2.9,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.916636583,101.6540031
25.0,25.0,22.4,85.48,0.0,0,,0.0,0.0,,2.9,15.0,,91.7,1.8,29.3,0.1,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.926865293,101.6613881
27.0,29.9,23.6,81.5,0.0,0,,0.0,0.0,,3.4,156.0,,93.3,2.4,414.3,1.5,4,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.970452804,101.6702865
27.0,29.9,23.6,81.6,0.0,0,,0.0,0.0,,3.3,159.0,,93.5,2.4,414.3,1.5,4,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.96568898,101.6499519
27.0,29.9,23.6,81.54,0.0,0,,0.0,0.0,,3.3,157.0,,93.4,2.4,414.3,1.5,4,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.956566257,101.6357485
29.0,33.1,23.5,72.22,0.0,0,,0.0,0.0,,3.6,122.0,,92.6,2.5,621.3,2.2,6,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.935513585,101.629123
29.0,33.1,23.4,71.87,0.0,0,,0.0,0.0,,3.9,134.0,,91.8,2.6,621.3,2.2,6,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.959821806,101.7412559
29.0,32.9,23.2,71.08,0.0,0,,0.0,0.0,,4.6,164.0,,90.4,2.8,621.3,2.2,6,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.905601006,101.7392814
32.5,38.6,24.0,60.94,0.0,0,,0.0,0.0,,7.6,145.0,,89.0,3.5,851.5,3.1,9,,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK",2.957273201,101.6710524
32.6,38.7,24.0,60.76,0.0,0,,0.0,0.0,,7.6,144.0,,89.0,3.4,851.5,3.1,9,,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK",2.966717465,101.6636236
32.5,38.5,24.0,61.13,0.0,0,,0.0,0.0,,7.6,145.0,,89.0,3.5,851.5,3.1,9,,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK",2.93177387,101.6399451
32.9,37.9,23.0,56.06,0.0,0,,0.0,0.0,,11.0,151.0,1009.1,89.0,3.9,747.8,2.7,7,,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK",2.949095496,101.6319816
32.4,37.3,23.0,57.84,0.0,0,,0.0,0.0,,10.2,173.0,,89.0,4.3,602.8,2.2,6,,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK",2.937062467,101.7095382
32.6,37.5,23.0,57.18,0.0,0,,0.0,0.0,,8.7,169.0,,89.0,3.9,602.8,2.2,6,,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK",2.960587491,101.6462615
30.4,35.7,24.0,68.58,0.0,0,,0.0,0.0,,10.9,164.0,,89.0,5.6,58.1,0.2,1,,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK",2.955890826,101.7137964
29.4,34.2,24.0,72.77,0.0,0,,0.0,0.0,,7.0,164.0,,89.0,5.8,0.8,0.0,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK",2.942284986,101.6978443
28.4,32.1,23.4,74.31,0.0,0,,0.0,0.0,,5.4,143.0,1009.5,89.0,6.2,0.0,,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK",2.909529395,101.6997223
28.4,32.2,23.4,74.3,0.0,0,,0.0,0.0,,5.4,143.0,1009.5,89.0,6.1,0.0,,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK",2.929831259,101.7314182
28.0,31.5,23.3,75.81,0.0,0,,0.0,0.0,,5.0,80.0,,89.0,7.0,0.0,,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK",2.925045336,101.6968892
28.0,31.5,23.3,75.77,0.0,0,,0.0,0.0,,5.1,81.0,,89.0,7.1,0.0,,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK",2.932982259,101.7324483
27.9,31.4,23.5,77.3,0.0,0,,0.0,0.0,,3.2,104.0,1011.6,89.0,6.9,0.0,,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK",2.920905791,101.6378199
27.5,31.1,24.0,81.2,0.0,0,,0.0,0.0,,1.8,243.0,,89.0,6.1,0.0,,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK",2.955510695,101.6774643
27.5,31.0,24.0,81.38,0.0,0,,0.0,0.0,,1.8,249.0,,89.0,5.9,0.0,,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK",2.944350333,101.6316005
27.5,31.1,24.0,81.05,0.0,0,,0.0,0.0,,1.8,238.0,,89.0,6.3,0.0,,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK",2.969741447,101.7326093
27.1,30.5,24.3,84.91,0.0,0,,0.0,0.0,,1.8,197.0,1009.7,89.0,5.8,0.0,,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK",2.946782315,101.6304899
26.7,29.2,23.3,81.67,0.0,0,,0.0,0.0,,3.1,191.0,,89.0,6.2,0.0,,0,,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK",2.92958325,101.7446153
26.0,26.0,23.5,86.25,0.0,0,,0.0,0.0,,0.9,39.0,,89.0,4.0,25.3,0.1,0,,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK",2.950801571,101.6475723
26.0,26.0,23.3,85.21,0.0,0,,0.0,0.0,,1.2,48.0,,89.0,4.4,25.3,0.1,0,,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK",2.935362189,101.7431844
30.0,35.1,24.0,70.36,0.0,0,,0.0,0.0,,4.5,60.0,,57.7,3.5,580.3,2.1,6,,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK",2.940545969,101.6313899
31.4,36.9,23.8,64.08,0.0,0,,0.0,0.0,,9.4,140.0,1010.6,100.0,1.5,746.8,2.7,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.94649583,101.6606522
31.3,36.7,23.8,64.57,0.0,0,,0.0,0.0,,10.1,136.0,1010.5,100.0,1.3,746.8,2.7,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.91005925,101.6762791
31.4,36.9,23.8,63.97,0.0,0,,0.0,0.0,,9.3,140.0,1010.6,100.0,1.5,746.8,2.7,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.942211723,101.6304912
31.4,36.8,23.8,64.27,0.0,0,,0.0,0.0,,9.7,138.0,1010.6,100.0,1.4,746.8,2.7,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.942248354,101.6891296
32.5,38.6,24.0,60.97,0.0,0,,0.0,0.0,,13.9,140.0,,100.0,1.5,842.3,3.0,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.958675928,101.6787285
32.4,38.4,24.0,61.41,0.0,0,,0.0,0.0,,14.1,137.0,,100.0,1.4,842.3,3.0,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.941856911,101.7165176
32.5,38.6,24.0,60.84,0.0,0,,0.0,0.0,,13.8,141.0,,100.0,1.5,842.3,3.0,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.965896954,101.6735648
32.4,38.4,24.0,61.34,0.0,0,,0.0,0.0,,14.1,138.0,,100.0,1.4,842.3,3.0,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.945227113,101.7108932
32.2,38.2,24.0,61.87,0.0,0,,0.0,0.0,,14.3,135.0,,100.0,1.2,842.3,3.0,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.906171995,101.7234891
32.3,38.4,24.0,61.53,0.0,0,,0.0,0.0,,14.2,137.0,,100.0,1.3,842.3,3.0,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.929545039,101.7080012
33.4,40.1,24.3,59.1,0.0,0,,0.0,0.0,,11.8,172.0,,100.0,1.4,636.8,2.3,6,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.936136301,101.7118102
33.1,40.7,25.0,62.73,0.0,0,,0.0,0.0,,11.9,175.0,,100.0,1.5,427.9,1.5,4,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2.953809283,101.6512013
